id,postcode,latitude,longitude,isInRightmove,codeRightmove
1,AB10,57.13514,-2.11731,,
2,AB11,57.13875,-2.09089,,
3,AB12,57.101,-2.1106,,
4,AB13,57.10801,-2.23776,,
5,AB14,57.10076,-2.27073,,
6,AB15,57.13868,-2.16525,,
7,AB16,57.16115,-2.15543,,
8,AB21,57.2096,-2.20033,,
9,AB22,57.18724,-2.11913,,
10,AB23,57.21242,-2.08776,,
11,AB24,57.16284,-2.11228,,
12,AB25,57.15311,-2.11241,,
13,AB30,56.84678,-2.47712,,
14,AB31,57.07479,-2.52623,,
15,AB32,57.15545,-2.31742,,
16,AB33,57.22464,-2.74203,,
17,AB34,57.09393,-2.81204,,
18,AB35,57.03829,-3.14869,,
19,AB36,57.19715,-3.06589,,
20,AB37,57.33098,-3.35051,,
21,AB38,57.48589,-3.2261,,
22,AB39,56.97778,-2.21718,,
23,AB41,57.37592,-2.10478,,
24,AB42,57.50079,-1.88819,,
25,AB43,57.65714,-2.04358,,
26,AB44,57.66877,-2.49122,,
27,AB45,57.65139,-2.56639,,
28,AB51,57.28907,-2.40485,,
29,AB52,57.34396,-2.60651,,
30,AB53,57.52537,-2.3941,,
31,AB54,57.45361,-2.76333,,
32,AB55,57.5239,-2.99024,,
33,AB56,57.67442,-2.92559,,
34,AL1,51.74836,-0.32237,,
35,AL10,51.75958,-0.2292,,
36,AL2,51.72064,-0.33353,,
37,AL3,51.77781,-0.37057,,
38,AL4,51.77133,-0.29398,,
39,AL5,51.81622,-0.35177,,
40,AL6,51.83104,-0.19737,,
41,AL7,51.79669,-0.18569,,
42,AL8,51.80334,-0.20863,,
43,AL9,51.74472,-0.19791,,
44,B1,52.47872,-1.90723,,
45,B10,52.46967,-1.8513,,
46,B11,52.4544,-1.85871,,
47,B12,52.45982,-1.88225,,
48,B13,52.43644,-1.8779,,
49,B14,52.41757,-1.88824,,
50,B15,52.46615,-1.92345,,
51,B16,52.47604,-1.93374,,
52,B17,52.46077,-1.96026,,
53,B18,52.49132,-1.92341,,
54,B19,52.4967,-1.90425,,
55,B2,52.47871,-1.89692,,
56,B20,52.51379,-1.91747,,
57,B21,52.50661,-1.93959,,
58,B23,52.52812,-1.85405,,
59,B24,52.51909,-1.82755,,
60,B25,52.46513,-1.8204,,
61,B26,52.46059,-1.78951,,
62,B27,52.44446,-1.82196,,
63,B28,52.4265,-1.84115,,
64,B29,52.43739,-1.94704,,
65,B3,52.48051,-1.90134,,
66,B30,52.42209,-1.92794,,
67,B31,52.40772,-1.97207,,
68,B32,52.44819,-1.99264,,
69,B33,52.48036,-1.78647,,
70,B34,52.49564,-1.78051,,
71,B35,52.51903,-1.78776,,
72,B36,52.50373,-1.77899,,
73,B37,52.47847,-1.74083,,
74,B38,52.39962,-1.93385,,
75,B4,52.48231,-1.89397,,
76,B40,52.45865,-1.72181,,
77,B42,52.53357,-1.91154,,
78,B43,52.54797,-1.92921,,
79,B44,52.54523,-1.88349,,
80,B45,52.38795,-2.00882,,
81,B46,52.50803,-1.69351,,
82,B47,52.38699,-1.8795,,
83,B48,52.35557,-1.9486,,
84,B49,52.21704,-1.86679,,
85,B5,52.46972,-1.89547,,
86,B50,52.16847,-1.85377,,
87,B6,52.50388,-1.88508,,
88,B60,52.3259,-2.04989,,
89,B61,52.34477,-2.06753,,
90,B62,52.45628,-2.03238,,
91,B63,52.45177,-2.06622,,
92,B64,52.47244,-2.06773,,
93,B65,52.48325,-2.04271,,
94,B66,52.49314,-1.96465,,
95,B67,52.48595,-1.97644,,
96,B68,52.47876,-2,,
97,B69,52.50213,-2.02799,,
98,B7,52.49307,-1.87185,,
99,B70,52.52012,-2.00295,,
100,B71,52.5354,-1.98968,,
101,B72,52.55145,-1.82153,,
102,B73,52.55238,-1.84217,,
103,B74,52.58297,-1.8583,,
104,B75,52.5784,-1.80813,,
105,B76,52.5451,-1.78616,,
106,B77,52.61855,-1.66762,,
107,B78,52.60598,-1.67362,,
108,B79,52.65005,-1.68069,,
109,B8,52.49034,-1.84092,,
110,B80,52.27641,-1.89593,,
111,B9,52.47776,-1.84833,,
112,B90,52.4004,-1.82361,,
113,B91,52.41382,-1.78238,,
114,B92,52.43628,-1.77345,,
115,B93,52.38048,-1.74288,,
116,B94,52.3509,-1.7915,,
117,B95,52.28524,-1.78008,,
118,B96,52.25217,-1.96044,,
119,B97,52.29893,-1.95454,,
120,B98,52.3034,-1.91346,,
121,BA1,51.39109,-2.35934,,
122,BA10,51.11291,-2.44576,,
123,BA11,51.23652,-2.32519,,
124,BA12,51.17117,-2.1874,,
125,BA13,51.26201,-2.17917,,
126,BA14,51.31863,-2.20092,,
127,BA15,51.35088,-2.26425,,
128,BA16,51.12489,-2.74313,,
129,BA2,51.35957,-2.37633,,
130,BA20,50.93753,-2.64193,,
131,BA21,50.95107,-2.63358,,
132,BA22,50.96814,-2.63666,,
133,BA3,51.27468,-2.47313,,
134,BA4,51.17102,-2.53073,,
135,BA5,51.21266,-2.65291,,
136,BA6,51.14042,-2.70478,,
137,BA7,51.08833,-2.51835,,
138,BA8,50.99883,-2.41046,,
139,BA9,51.05729,-2.40955,,
140,BB1,53.75625,-2.46265,,
141,BB10,53.79919,-2.21865,,
142,BB11,53.78294,-2.25196,,
143,BB12,53.80353,-2.29005,,
144,BB18,53.91433,-2.17053,,
145,BB2,53.74171,-2.50039,,
146,BB3,53.69781,-2.46503,,
147,BB4,53.70376,-2.28936,,
148,BB5,53.75477,-2.37162,,
149,BB6,53.79238,-2.41598,,
150,BB7,53.87338,-2.38636,,
151,BB8,53.85771,-2.1627,,
152,BB9,53.83695,-2.21429,,
153,BD1,53.79554,-1.75252,,
154,BD10,53.83143,-1.72496,,
155,BD11,53.75131,-1.67543,,
156,BD12,53.74611,-1.76039,,
157,BD13,53.78582,-1.85883,,
158,BD14,53.78217,-1.81635,,
159,BD15,53.80917,-1.83597,,
160,BD16,53.84871,-1.83278,,
161,BD17,53.84681,-1.76742,,
162,BD18,53.83154,-1.77662,,
163,BD19,53.72713,-1.712,,
164,BD2,53.81438,-1.73418,,
165,BD20,53.89646,-1.94673,,
166,BD21,53.86407,-1.90571,,
167,BD22,53.84522,-1.95288,,
168,BD23,53.99264,-2.05339,,
169,BD24,54.07773,-2.27361,,
170,BD3,53.79818,-1.72669,,
171,BD4,53.77569,-1.71773,,
172,BD5,53.77847,-1.75717,,
173,BD6,53.76414,-1.78305,,
174,BD7,53.78301,-1.78143,,
175,BD8,53.80099,-1.78134,,
176,BD9,53.81179,-1.78888,,
177,BH1,50.72427,-1.85973,,
178,BH10,50.75847,-1.89082,,
179,BH11,50.76119,-1.91634,,
180,BH12,50.73692,-1.9263,,
181,BH13,50.70993,-1.91785,,
182,BH14,50.72164,-1.94333,,
183,BH15,50.72165,-1.98442,,
184,BH16,50.73783,-2.04394,,
185,BH17,50.74593,-1.97449,,
186,BH18,50.75853,-1.99291,,
187,BH19,50.61102,-1.9689,,
188,BH2,50.72159,-1.88099,,
189,BH20,50.68648,-2.14582,,
190,BH21,50.81248,-1.97303,,
191,BH22,50.80524,-1.88787,,
192,BH23,50.74567,-1.75335,,
193,BH24,50.84377,-1.78551,,
194,BH25,50.75173,-1.65692,,
195,BH3,50.73508,-1.87954,,
196,BH31,50.87537,-1.87207,,
197,BH4,50.72071,-1.89799,,
198,BH5,50.72513,-1.83422,,
199,BH6,50.72688,-1.80446,,
200,BH7,50.73502,-1.83135,,
201,BH8,50.74044,-1.85118,,
202,BH9,50.74946,-1.871,,
203,BL0,53.64526,-2.31468,,
204,BL1,53.59002,-2.44421,,
205,BL2,53.58749,-2.39432,,
206,BL3,53.56489,-2.43186,,
207,BL4,53.54702,-2.39999,,
208,BL5,53.54928,-2.51473,,
209,BL6,53.59142,-2.53941,,
210,BL7,53.62965,-2.42194,,
211,BL8,53.60478,-2.32647,,
212,BL9,53.5914,-2.28557,,
213,BN1,50.839,-0.13786,,
214,BN10,50.7953,0.00232,,
215,BN11,50.81288,-0.37599,,
216,BN12,50.81354,-0.42423,,
217,BN13,50.83037,-0.40521,,
218,BN14,50.83181,-0.37959,,
219,BN15,50.83013,-0.32426,,
220,BN16,50.81446,-0.49377,,
221,BN17,50.81408,-0.53495,,
222,BN18,50.84881,-0.57933,,
223,BN2,50.82405,-0.10296,,
224,BN20,50.77449,0.25536,,
225,BN21,50.77228,0.27653,,
226,BN22,50.78832,0.2844,,
227,BN23,50.79764,0.31325,,
228,BN24,50.81618,0.3312,,
229,BN25,50.77633,0.10932,,
230,BN26,50.82098,0.22352,,
231,BN27,50.87146,0.2643,,
232,BN3,50.83419,-0.17498,,
233,BN41,50.8402,-0.21452,,
234,BN42,50.83686,-0.23169,,
235,BN43,50.83557,-0.26583,,
236,BN44,50.89036,-0.3221,,
237,BN45,50.8892,-0.18421,,
238,BN5,50.92645,-0.26815,,
239,BN6,50.92918,-0.15276,,
240,BN7,50.87719,0.00014,,
241,BN8,50.91318,0.05148,,
242,BN9,50.79536,0.05058,,
243,BR1,51.41107,0.02192,,
244,BR2,51.38858,0.02237,,
245,BR3,51.40297,-0.0302,,
246,BR4,51.37559,-0.00695,,
247,BR5,51.38983,0.10436,,
248,BR6,51.36575,0.0932,,
249,BR7,51.41019,0.07222,,
250,BR8,51.39751,0.1766,,
251,BS1,51.45309,-2.593,,
252,BS10,51.50606,-2.60954,,
253,BS11,51.49672,-2.67425,,
254,BS13,51.41163,-2.61116,,
255,BS14,51.41278,-2.56084,,
256,BS15,51.4589,-2.50527,,
257,BS16,51.48496,-2.50988,,
258,BS2,51.45945,-2.58013,,
259,BS20,51.47916,-2.75176,,
260,BS21,51.43443,-2.84886,,
261,BS22,51.36008,-2.92936,,
262,BS23,51.34266,-2.97065,,
263,BS24,51.32769,-2.93158,,
264,BS25,51.32039,-2.82522,,
265,BS26,51.27971,-2.85461,,
266,BS27,51.27131,-2.76987,,
267,BS28,51.22515,-2.81349,,
268,BS29,51.33081,-2.87709,,
269,BS3,51.43776,-2.60144,,
270,BS30,51.44465,-2.47201,,
271,BS31,51.4077,-2.49176,,
272,BS32,51.54228,-2.55955,,
273,BS34,51.52338,-2.56364,,
274,BS35,51.59629,-2.54866,,
275,BS36,51.52553,-2.48582,,
276,BS37,51.53928,-2.41675,,
277,BS39,51.32749,-2.53109,,
278,BS4,51.43437,-2.56111,,
279,BS40,51.34644,-2.69071,,
280,BS41,51.42221,-2.65158,,
281,BS48,51.42523,-2.748,,
282,BS49,51.3798,-2.81767,,
283,BS5,51.4614,-2.54992,,
284,BS6,51.47015,-2.59898,,
285,BS7,51.48643,-2.58047,,
286,BS8,51.45745,-2.62041,,
287,BS9,51.4871,-2.62513,,
288,BS99,51.45769,-2.57291,,
289,BT1,54.59941,-5.92838,,
290,BT10,54.55983,-5.98338,,
291,BT11,54.57556,-5.9973,,
292,BT12,54.59223,-5.95557,,
293,BT13,54.60563,-5.95842,,
294,BT14,54.62082,-5.96144,,
295,BT15,54.62362,-5.93071,,
296,BT16,54.591,-5.79746,,
297,BT17,54.55423,-6.01688,,
298,BT18,54.64154,-5.82079,,
299,BT19,54.6517,-5.66663,,
300,BT2,54.59309,-5.92932,,
301,BT20,54.65808,-5.6641,,
302,BT21,54.63826,-5.54448,,
303,BT22,54.5032,-5.51886,,
304,BT23,54.56301,-5.71437,,
305,BT24,54.41683,-5.87232,,
306,BT25,54.39545,-6.11078,,
307,BT26,54.45201,-6.06088,,
308,BT27,54.51004,-6.02027,,
309,BT28,54.52305,-6.08804,,
310,BT29,54.62018,-6.1939,,
311,BT3,54.61999,-5.90401,,
312,BT30,54.33396,-5.70444,,
313,BT31,54.27783,-5.96992,,
314,BT32,54.33502,-6.24483,,
315,BT33,54.22095,-5.89385,,
316,BT34,54.15466,-6.18034,,
317,BT35,54.16501,-6.44355,,
318,BT36,54.67682,-5.95448,,
319,BT37,54.67658,-5.90634,,
320,BT38,54.7295,-5.79799,,
321,BT39,54.74491,-6.0171,,
322,BT4,54.6023,-5.86668,,
323,BT40,54.84659,-5.82146,,
324,BT41,54.73301,-6.25997,,
325,BT42,54.85458,-6.28215,,
326,BT43,54.89024,-6.26565,,
327,BT44,54.97416,-6.28394,,
328,BT45,54.76045,-6.63935,,
329,BT46,54.86568,-6.66393,,
330,BT47,54.97386,-7.21151,,
331,BT48,55.00933,-7.32731,,
332,BT49,55.04774,-6.95153,,
333,BT5,54.5887,-5.87004,,
334,BT51,55.05761,-6.68,,
335,BT52,55.13423,-6.65285,,
336,BT53,55.08519,-6.47305,,
337,BT54,55.19997,-6.25787,,
338,BT55,55.17971,-6.71005,,
339,BT56,55.19824,-6.64932,,
340,BT57,55.2014,-6.51755,,
341,BT6,54.57974,-5.89706,,
342,BT60,54.29219,-6.64951,,
343,BT61,54.3679,-6.62264,,
344,BT62,54.41256,-6.46416,,
345,BT63,54.40362,-6.38916,,
346,BT64,54.44938,-6.39252,,
347,BT65,54.44496,-6.36581,,
348,BT66,54.45514,-6.33292,,
349,BT67,54.48713,-6.26832,,
350,BT68,54.36626,-6.84743,,
351,BT69,54.42425,-6.94843,,
352,BT7,54.58158,-5.92356,,
353,BT70,54.51495,-6.88672,,
354,BT71,54.51322,-6.70402,,
355,BT74,54.3432,-7.66425,,
356,BT75,54.37531,-7.31559,,
357,BT76,54.41941,-7.19167,,
358,BT77,54.42711,-7.11701,,
359,BT78,54.57165,-7.37371,,
360,BT79,54.62422,-7.20073,,
361,BT8,54.53994,-5.90409,,
362,BT80,54.64464,-6.74869,,
363,BT81,54.69395,-7.61369,,
364,BT82,54.82576,-7.42777,,
365,BT9,54.57176,-5.94894,,
366,BT92,54.22294,-7.46184,,
367,BT93,54.4651,-7.8264,,
368,BT94,54.37595,-7.54078,,
369,CA1,54.88535,-2.91046,,
370,CA10,54.61104,-2.65966,,
371,CA11,54.66422,-2.78611,,
372,CA12,54.60214,-3.13326,,
373,CA13,54.65997,-3.36589,,
374,CA14,54.63454,-3.53704,,
375,CA15,54.71165,-3.48096,,
376,CA16,54.57413,-2.48269,,
377,CA17,54.47841,-2.35037,,
378,CA18,54.35408,-3.38958,,
379,CA19,54.38651,-3.38297,,
380,CA2,54.88415,-2.9494,,
381,CA20,54.40987,-3.46081,,
382,CA21,54.44516,-3.51451,,
383,CA22,54.48001,-3.53123,,
384,CA23,54.51465,-3.49236,,
385,CA24,54.51493,-3.54181,,
386,CA25,54.52243,-3.51737,,
387,CA26,54.54445,-3.48108,,
388,CA27,54.49091,-3.59186,,
389,CA28,54.54324,-3.57689,,
390,CA3,54.9076,-2.93904,,
391,CA4,54.84636,-2.83326,,
392,CA5,54.85485,-3.0157,,
393,CA6,54.99423,-2.8926,,
394,CA7,54.80696,-3.23702,,
395,CA8,54.93895,-2.68531,,
396,CA9,54.80176,-2.4185,,
397,CB1,52.17611,0.18955,,
398,CB10,52.02989,0.26551,,
399,CB11,51.99938,0.21443,,
400,CB2,52.16276,0.13333,,
401,CB21,52.13194,0.29553,,
402,CB22,52.12718,0.12898,,
403,CB23,52.21349,-0.02215,,
404,CB24,52.31538,0.02762,,
405,CB25,52.26083,0.23615,,
406,CB3,52.21324,0.02448,,
407,CB4,52.24312,0.11521,,
408,CB5,52.23868,0.21021,,
409,CB6,52.40388,0.22434,,
410,CB7,52.36606,0.32087,,
411,CB8,52.23083,0.42659,,
412,CB9,52.08212,0.44187,,
413,CF10,51.47387,-3.17648,,
414,CF11,51.47281,-3.19229,,
415,CF14,51.51947,-3.20216,,
416,CF15,51.53401,-3.27319,,
417,CF23,51.5155,-3.15016,,
418,CF24,51.48479,-3.16379,,
419,CF3,51.51947,-3.11134,,
420,CF31,51.50876,-3.57514,,
421,CF32,51.55992,-3.58268,,
422,CF33,51.52424,-3.69101,,
423,CF34,51.61024,-3.65087,,
424,CF35,51.52211,-3.51793,,
425,CF36,51.48456,-3.69818,,
426,CF37,51.6026,-3.33288,,
427,CF38,51.56034,-3.33164,,
428,CF39,51.60153,-3.42382,,
429,CF40,51.62009,-3.45041,,
430,CF41,51.64758,-3.48164,,
431,CF42,51.66685,-3.52132,,
432,CF43,51.65788,-3.44872,,
433,CF44,51.71802,-3.45788,,
434,CF45,51.66882,-3.36085,,
435,CF46,51.66501,-3.3,,
436,CF47,51.75139,-3.37492,,
437,CF48,51.74067,-3.3688,,
438,CF5,51.48219,-3.2415,,
439,CF61,51.40748,-3.47962,,
440,CF62,51.40412,-3.30841,,
441,CF63,51.4119,-3.25542,,
442,CF64,51.43328,-3.18838,,
443,CF71,51.46176,-3.45402,,
444,CF72,51.52989,-3.39852,,
445,CF81,51.6998,-3.24311,,
446,CF82,51.65132,-3.236,,
447,CF83,51.58587,-3.2169,,
448,CH1,53.20173,-2.90732,,
449,CH2,53.2164,-2.86869,,
450,CH3,53.1664,-2.8213,,
451,CH4,53.16823,-2.93803,,
452,CH41,53.39402,-3.03022,,
453,CH42,53.37433,-3.02073,,
454,CH43,53.38299,-3.05853,,
455,CH44,53.41554,-3.03676,,
456,CH45,53.42801,-3.05061,,
457,CH46,53.40319,-3.11018,,
458,CH47,53.39634,-3.16866,,
459,CH48,53.37116,-3.16947,,
460,CH49,53.38079,-3.10208,,
461,CH5,53.20424,-3.04064,,
462,CH6,53.25003,-3.14518,,
463,CH60,53.32602,-3.09466,,
464,CH61,53.34754,-3.10122,,
465,CH62,53.33421,-2.98072,,
466,CH63,53.34474,-3.01101,,
467,CH64,53.28779,-3.04717,,
468,CH65,53.27729,-2.90142,,
469,CH66,53.27704,-2.93442,,
470,CH7,53.16924,-3.13256,,
471,CH8,53.28144,-3.24053,,
472,CM0,51.66221,0.83719,,
473,CM1,51.74454,0.45694,,
474,CM11,51.62335,0.44605,,
475,CM12,51.62757,0.41593,,
476,CM13,51.61564,0.33872,,
477,CM14,51.61835,0.29263,,
478,CM15,51.64328,0.30545,,
479,CM16,51.69981,0.12161,,
480,CM17,51.77043,0.14522,,
481,CM18,51.75584,0.10685,,
482,CM19,51.76,0.07515,,
483,CM2,51.72141,0.48754,,
484,CM20,51.77476,0.10483,,
485,CM21,51.81177,0.14718,,
486,CM22,51.86164,0.22218,,
487,CM23,51.87178,0.16021,,
488,CM24,51.8988,0.20657,,
489,CM3,51.71932,0.58445,,
490,CM4,51.67392,0.39235,,
491,CM5,51.72083,0.24857,,
492,CM6,51.8768,0.36678,,
493,CM7,51.89752,0.53797,,
494,CM77,51.86224,0.52554,,
495,CM8,51.80536,0.6387,,
496,CM9,51.74097,0.70159,,
497,CO1,51.88891,0.9096,,
498,CO10,52.05706,0.72355,,
499,CO11,51.94126,1.0789,,
500,CO12,51.93115,1.25427,,
501,CO13,51.83802,1.23884,,
502,CO14,51.84979,1.26873,,
503,CO15,51.7962,1.15605,,
504,CO16,51.82039,1.1258,,
505,CO2,51.86947,0.89527,,
506,CO3,51.88466,0.86281,,
507,CO4,51.90654,0.92383,,
508,CO5,51.81459,0.82209,,
509,CO6,51.92419,0.78968,,
510,CO7,51.8838,1.0052,,
511,CO8,51.97328,0.76797,,
512,CO9,51.96878,0.61043,,
513,CR0,51.37223,-0.07463,,
514,CR2,51.34983,-0.07988,,
515,CR3,51.28687,-0.07964,,
516,CR4,51.40415,-0.15813,,
517,CR5,51.31211,-0.13886,,
518,CR6,51.30799,-0.05149,,
519,CR7,51.39517,-0.10242,,
520,CR8,51.33594,-0.11061,,
521,CR9,51.37223,-0.07463,,
522,CT1,51.27719,1.08733,,
523,CT10,51.36208,1.43073,,
524,CT11,51.33557,1.41438,,
525,CT12,51.34216,1.37322,,
526,CT13,51.26692,1.33042,,
527,CT14,51.21582,1.38689,,
528,CT15,51.17109,1.28343,,
529,CT16,51.13996,1.30267,,
530,CT17,51.12845,1.29613,,
531,CT18,51.11447,1.15078,,
532,CT19,51.08785,1.1704,,
533,CT2,51.29261,1.08262,,
534,CT20,51.07899,1.16551,,
535,CT21,51.07233,1.07795,,
536,CT3,51.27743,1.21213,,
537,CT4,51.22462,1.06805,,
538,CT5,51.35318,1.03641,,
539,CT6,51.3642,1.13054,,
540,CT7,51.37122,1.30062,,
541,CT8,51.37996,1.3415,,
542,CT9,51.38304,1.3906,,
543,CV1,52.40939,-1.506,,
544,CV10,52.52535,-1.50028,,
545,CV11,52.51885,-1.45318,,
546,CV12,52.47399,-1.47288,,
547,CV13,52.61217,-1.41362,,
548,CV2,52.4227,-1.46467,,
549,CV21,52.36774,-1.27438,,
550,CV22,52.35522,-1.28633,,
551,CV23,52.36165,-1.30826,,
552,CV3,52.3931,-1.48119,,
553,CV31,52.27819,-1.52358,,
554,CV32,52.2962,-1.53072,,
555,CV33,52.25735,-1.48424,,
556,CV34,52.2829,-1.57924,,
557,CV35,52.229,-1.5944,,
558,CV36,52.06726,-1.62504,,
559,CV37,52.1853,-1.71328,,
560,CV4,52.39794,-1.56492,,
561,CV47,52.23349,-1.38494,,
562,CV5,52.41227,-1.55008,,
563,CV6,52.43188,-1.50722,,
564,CV7,52.44378,-1.563,,
565,CV8,52.3511,-1.54336,,
566,CV9,52.58493,-1.55864,,
567,CW1,53.10281,-2.43469,,
568,CW10,53.18907,-2.44604,,
569,CW11,53.1426,-2.36482,,
570,CW12,53.16455,-2.21093,,
571,CW2,53.08119,-2.44642,,
572,CW3,52.99952,-2.40534,,
573,CW4,53.20648,-2.34739,,
574,CW5,53.062,-2.52084,,
575,CW6,53.16197,-2.66565,,
576,CW7,53.19054,-2.52688,,
577,CW8,53.2533,-2.56363,,
578,CW9,53.25897,-2.50074,,
579,DA1,51.44637,0.20915,,
580,DA10,51.44445,0.30837,,
581,DA11,51.43455,0.35392,,
582,DA12,51.42757,0.38809,,
583,DA13,51.38235,0.35555,,
584,DA14,51.42475,0.11316,,
585,DA15,51.44029,0.09948,,
586,DA16,51.4644,0.10923,,
587,DA17,51.48706,0.14917,,
588,DA18,51.49165,0.14363,,
589,DA2,51.4315,0.23433,,
590,DA3,51.38417,0.30965,,
591,DA4,51.39106,0.23236,,
592,DA5,51.44033,0.14698,,
593,DA6,51.45484,0.14046,,
594,DA7,51.46552,0.14672,,
595,DA8,51.47574,0.17745,,
596,DA9,51.44771,0.27975,,
597,DD1,56.4611,-2.97702,,
598,DD10,56.74724,-2.4268,,
599,DD11,56.57312,-2.59738,,
600,DD2,56.46968,-3.02756,,
601,DD3,56.48257,-2.98894,,
602,DD4,56.48209,-2.93534,,
603,DD5,56.47812,-2.86217,,
604,DD6,56.43723,-2.92612,,
605,DD7,56.5033,-2.71814,,
606,DD8,56.6565,-2.92171,,
607,DD9,56.74798,-2.6672,,
608,DE1,52.91994,-1.47492,,
609,DE11,52.77372,-1.55377,,
610,DE12,52.72516,-1.55279,,
611,DE13,52.80741,-1.68844,,
612,DE14,52.80457,-1.6395,,
613,DE15,52.79908,-1.6084,,
614,DE21,52.93322,-1.43161,,
615,DE22,52.93351,-1.49559,,
616,DE23,52.90114,-1.49448,,
